Name,Duplicate,Founding_Year,Location,Description,Portfolio,Investments,Lead_Investments,Article_Mentions,Exits,Exits_IPO,IRR,TVPI,DPI,RVPI,Contributed,Distributed,Distributed_NAV,Fund_NAV,Gain_Since_Inception,Employees,Founders,Industries,Last_Updated,Funding_Rounds,Fund_Status,Fund_Name,Last_Funding,Total_Funding,Website,Crunchbase,holistic
Superbloom Capital,,2017,"San Francisco, California, United States",Superbloom Capital takes the Y-Combinator approach of accelerating companies to their ICO.,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Emmie Chang,,0,1,,,"Jul 17, 2018",0,http://www.superbloom.capital/,https://www.crunchbase.com/organization/superbloom-capital,201.70000000000002
Wave Capital,,2018,"San Francisco, CA",,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Wave I,"Jul 11, 2018",55000000,,,5500201.9
VcanBio Capital Partners,,2018,"Natick, MA",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,VcanBio USA Healthcare Venture Fund,"Jan 1, 2018",5500000,,,550201.8
Rubicon Venture Capital,,2014,"San Francisco, CA",,0,15,0,0,0,0,0.0,0.0,0.01,0.0,4.6,0.06,0.0,0.0,0.0,,,,2018,0,Closed,Georgetown Alumni Angels Fund I,"Jun 30, 2015",4600000,,,460202.901
The House Fund,,2015,"Berkeley, California, United States",The House Fund is a pre-seed and early stage venture capital fund focused on the boldest Berkeley startups.,35,40,2,4,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Jeremy Fiance,"Finance, Venture Capital",0,0,,,,0,http://thehouse.fund,https://www.crunchbase.com/organization/the-house-fund,210.4
Scrum Ventures,,2013,"San Francisco, California, United States",Scrum Ventures is an early stage venture firm with strong networks in Japan. We help startups and corporations innovate together.,44,60,1,51,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Tak Miyata,"Angel Investment, Internet of Things, Venture Capital",0,0,Closed,Scrum Ventures Fund II,"Dec 31, 2018",24000000,http://www.scrum.vc,https://www.crunchbase.com/organization/scrum-ventures,2400217.6
Starta Ventures,,0,"Moscow, Russia",,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Open (First Close),Starta Capital Fund II,,0,,,0.9
SparkChain Capital,,2017,"Palo Alto, CA",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,SparkChain Capital,"Oct 19, 2017",100000000,,,10000201.7
Vatican Capital,,2012,"Hattiesburg, Mississippi, United States",VC-Investing in Catholic Entrepreneurs,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,,,,0,http://vaticancapital.com,https://www.crunchbase.com/organization/vatican-capital,201.20000000000002
Reach Capital,,2015,"Palo Alto, California, United States","Reach supports the most promising entrepreneurs developing technology solutions for challenges in early childhood, K-12, higher education.",46,61,19,20,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,"Jennifer Carolan, Shauntel Garvey","EdTech, Education, Financial Services",0,0,,,,0,http://reachcap.com/,https://www.crunchbase.com/organization/reach-capital,216.6
VisionPassage,,2017,"San Francisco, California, United States",VisionPassage provides pre-seed to late-stage startup investments.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Vic Kapur,"Angel Investment, Finance, Financial Services, Venture Capital",0,0,,,,0,http://www.visionpassage.com/,https://www.crunchbase.com/organization/visionpassage,201.70000000000002
Visionnaire Ventures,,2013,"San Francisco, California, United States",Visionnaire Ventures is a global technology investment firm focused on visionary people and ideas that can become market leaders.,43,57,13,80,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Keith Nilsson, Susan Choe, Taizo Son",Venture Capital,0,2,Closed,Visionnaire Ventures Fund II,"Dec 31, 2016",80000000,http://www.visionnaire.vc,https://www.crunchbase.com/organization/visionnaire-ventures,8000221.4
Quotidian Ventures,,2010,"New York, New York, United States","Quotidian Ventures is a NYC pre-seed fund investing in companies using technology to transform large, existing industries.",59,77,0,98,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Pedro Torres-Mackie,Finance,0,0,,,,0,http://www.quotidian.co,https://www.crunchbase.com/organization/quotidian-ventures,227.4
TYLT Ventures,Duplicate,2013,"Santa Monica, California, United States","TYLT Ventures is focused on identifying, capitalizing, and building high-growth companies.",31,40,3,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Gerard Casale, Rami Rostami","Finance, Incubators, Venture Capital",0,0,,,,0,http://www.tyltventures.com/,https://www.crunchbase.com/organization/tylt-lab,209.70000000000002
TEXO Ventures,,2014,"Austin, TX",,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,TEXO Ventures I,"Jun 30, 2014",15410000,,,1541202.6
TDK Ventures,,2019,"San Jose, CA",,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,TDK Ventures,"Jul 1, 2019",50000000,,,5000202.3
The Bricks,,2017,"West Palm Beach, Florida, United States",Funding startup and early stage companies where founders or management includes veterans.,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Andrew Craissati, Bill Brandt",,0,0,,,,0,http://brickcapital.co,https://www.crunchbase.com/organization/the-bricks,202.4
Wireframe Ventures,,2018,"Mill Valley, CA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1,Closed,Wireframe Ventures,"Dec 31, 2018",25700000,,,2570201.8
Sinai Ventures,,0,"Palo Alto, CA",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Sinai Fund I,,100000000,,,10000000.0
Stout Street Capital,,2016,"Denver, Colorado, United States",Stout Street Capital is Denver Based VC focused on investing in early stage Tech companies that improve efficiency in core growth sectors,44,48,5,6,4,4,0.0,1.01,0.05,0.96,4.07,0.19,4.09,3.9,0.02,10-Jan,"Clay Gordon, John Francis","Analytics, Artificial Intelligence, Augmented Reality, Big Data, Data Mining, Mobile, Mobile Advertising, Mobile Payments, Predictive Analytics, Robotics, SaaS, Software, Telecommunications, Virtual Reality",2018,2,Closed,,"Aug 15, 2019",20000000,http://www.stoutstreetcapital.com,https://www.crunchbase.com/organization/stout-street-capital,2000212.304
Viceroy Ventures,Duplicate,0,"New York, NY",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Evergreen,Viceroy Capital Healthcare II,,3000000,,,300000.1
SaaS Ventures,,2017,"Washington, District of Columbia, United States",SaaS Ventures is a seed stage venture capital fund focused on enterprise tech.,29,35,1,4,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,"Brian Gaister, Collin Gutman","Enterprise Software, SaaS",0,0,,,,0,https://www.saasventurecapital.com/,https://www.crunchbase.com/organization/saas-ventures-2,208.90000000000003
Velos Partners,,2013,"Los Angeles, California, United States","Velos Partners is a consumer growth capital firm investing in retail innovation, health & wellness, and luxury & entertainment.",18,25,4,17,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,"James Bailey, Parminder Basran, Raj Ganguly, Samrat Ganguly","Health Care, Retail Technology",0,0,,,,0,http://www.velospartners.com,https://www.crunchbase.com/organization/velos-partners,207.9
TGen Health Ventures,,2014,"Phoenix, AZ",,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Personalized Medicine Capital,"Mar 6, 2014",75000000,,,7500201.4
Wareness.io,,2013,"New York, New York, United States",Wareness.io is a marketing accelerator and seed investor fund that caters to hardware startups.,9,12,0,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,Vijay Chattha,"Finance, FinTech, Hardware, Software",0,0,,,,0,http://www.wareness.io,https://www.crunchbase.com/organization/wareness-io,204.1
Red Sea Ventures,,2011,"New York, New York, United States",Red Sea Ventures is a venture capital firm that specializes in early stage investments based in New York.,45,57,6,11,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Scott Birnbaum,"Business Development, Finance, Financial Services, Venture Capital",0,0,Closed,"Red Sea Ventures PRIME A, Red Sea Ventures II","Jan 3, 2020",44840000,http://www.redseaventures.com,https://www.crunchbase.com/organization/red-sea-venture-partners,4484213.8
Zeev Ventures,,2017,"Palo Alto, California, United States",Zeev Ventures is a One Man VC firm ,18,40,23,14,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,Oren Zeev,,0,0,,,,0,https://www.zeevventures.com/,https://www.crunchbase.com/organization/zeev-ventures,211.50000000000006
Redstar Ventures,,2011,"Cambridge, Massachusetts, United States",Redstar Ventures is a Massachusetts-based micro venture capital that invests in startup and seed stage companies.,1,2,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,"Jeet Singh, Joe Chung, Matt Beecher","Angel Investment, Finance, Venture Capital",0,0,,,,0,http://www.redstar.com,https://www.crunchbase.com/organization/redstar-ventures,203.0
Unreasonable Capital,Duplicate,2013,"Boulder, Colorado, United States",Investment fund focused on enterprises in emerging markets.,6,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Jan,,,0,0,,,,0,http://unreasonablecapital.com/,https://www.crunchbase.com/organization/unreasonable-capital,202.9
ShangBay Capital,,2019,"Palo Alto, CA",,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,Closed,Shangbay Capital II,"Dec 31, 2019",34900000,,,3490202.0
Third Wave Digital,,2014,"Beverly Hills, California, United States",Third Wave is an early stage Venture Capital firm focused on the Digital Media sector.,52,60,4,90,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov-50,Allen DeBevoise,"Finance, Venture Capital",0,0,,,,0,http://www.thirdwavedigital.vc,https://www.crunchbase.com/organization/third-wave-digital,223.2
The Fund,,2017,"New York, New York, United States",A community-driven venture fund comprised of top NYC founders & operators,42,43,0,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51-100,"Adam Carver, Jenny Fielding, Katie Hunt, Matthew Brimer, Scott Hartley",,0,0,,,,0,https://www.thefund.vc,https://www.crunchbase.com/organization/the-fund,211.5
